id,text,label,source,difficulty,ambiguous
sms-fraud_suspected-01,【账户提示】异常操作，请立即回复验证码核验。,fraud_suspected,synthetic,clear,false
sms-fraud_suspected-02,【安全中心】额度将冻结，请提供身份口令。,fraud_suspected,synthetic,clear,false
sms-fraud_suspected-03,【服务通知】待领取款项，先确认支付密码。,fraud_suspected,synthetic,clear,false
sms-fraud_suspected-04,【紧急提醒】请输入动态码解除限制。,fraud_suspected,synthetic,clear,false
sms-fraud_suspected-05,【会员事务】请回复证件尾号加急更新。,fraud_suspected,synthetic,clear,false
sms-fraud_suspected-06,【订单保障】理赔将失效，请确认收款信息。,fraud_suspected,synthetic,clear,false
sms-fraud_suspected-07,【系统消息】异地登录，请提供短信口令。,fraud_suspected,synthetic,clear,false
sms-fraud_suspected-08,【财务提示】退款异常，请核对银行卡密码。,fraud_suspected,synthetic,clear,false
sms-fraud_suspected-09,【账号管家】今日不验证将暂停使用。,fraud_suspected,synthetic,clear,false
sms-fraud_suspected-10,【权益通知】补贴待激活，请确认验证码。,fraud_suspected,synthetic,subtle,false
sms-fraud_suspected-11,【风险预警】十分钟内按指令处理交易。,fraud_suspected,synthetic,subtle,false
sms-fraud_suspected-12,【客服提醒】回复口令可保留积分。,fraud_suspected,synthetic,subtle,false
sms-fraud_suspected-13,【身份验证】紧急复核，请发送校验数字。,fraud_suspected,synthetic,subtle,false
sms-fraud_suspected-14,【结算中心】入账失败，请补充私密信息。,fraud_suspected,synthetic,subtle,false
sms-fraud_suspected-15,【安全服务】账户异常，请按步骤完成解锁。,fraud_suspected,synthetic,subtle,false
sms-marketing-01,【生活好物】换季收纳用品正在做活动。,marketing,synthetic,clear,false
sms-marketing-02,【会员福利】周末新品体验开放登记。,marketing,synthetic,clear,false
sms-marketing-03,【轻食精选】本周套餐限时折扣。,marketing,synthetic,clear,false
sms-marketing-04,【家居馆】照明专区更新并有优惠。,marketing,synthetic,clear,false
sms-marketing-05,【阅读计划】新书主题月开始。,marketing,synthetic,clear,false
sms-marketing-06,【运动季】跑步装备上新。,marketing,synthetic,clear,false
sms-marketing-07,【旅行灵感】出行收纳专题上线。,marketing,synthetic,clear,false
sms-marketing-08,【咖啡时光】本月可尝鲜两款新品。,marketing,synthetic,clear,false
sms-marketing-09,【服饰精选】春季基础款上架。,marketing,synthetic,clear,false
sms-marketing-10,【数码周报】配件专区组合促销。,marketing,synthetic,subtle,false
sms-marketing-11,【宠物日常】清洁用品买赠活动。,marketing,synthetic,subtle,false
sms-marketing-12,【厨房新意】烘焙工具专题开放。,marketing,synthetic,subtle,false
sms-marketing-13,【居家焕新】软装搭配直播今晚开始。,marketing,synthetic,subtle,false
sms-marketing-14,【会员小站】积分可兑换本周商品。,marketing,synthetic,subtle,false
sms-marketing-15,【文具铺】开学季套装正在满减。,marketing,synthetic,subtle,false
sms-verification_code-01,【应用通知】登录验证码为482731，请勿透露。,verification_code,synthetic,clear,false
sms-verification_code-02,【账户服务】确认码615204，五分钟有效。,verification_code,synthetic,clear,false
sms-verification_code-03,【平台消息】注册验证码903816，请保管。,verification_code,synthetic,clear,false
sms-verification_code-04,【设备登录】验证码274590用于验证。,verification_code,synthetic,clear,false
sms-verification_code-05,【操作确认】动态码568143，请勿泄露。,verification_code,synthetic,clear,false
sms-verification_code-06,【系统校验】绑定操作验证码190427。,verification_code,synthetic,clear,false
sms-verification_code-07,【服务中心】密码重置验证码736025。,verification_code,synthetic,clear,false
sms-verification_code-08,【账号通知】安全码841609，三分钟有效。,verification_code,synthetic,clear,false
sms-verification_code-09,【会员验证】验证码325718仅用于登录。,verification_code,synthetic,clear,false
sms-verification_code-10,【应用提醒】确认码607934完成操作。,verification_code,synthetic,subtle,false
sms-verification_code-11,【身份校验】验证码452861，请勿转发。,verification_code,synthetic,subtle,false
sms-verification_code-12,【设置通知】修改资料验证码719305。,verification_code,synthetic,subtle,false
sms-verification_code-13,【登录保护】动态验证码286417即将失效。,verification_code,synthetic,subtle,false
sms-verification_code-14,【注册助手】请输入验证码534092继续。,verification_code,synthetic,subtle,false
sms-verification_code-15,【设备管理】授权码968153用于新增设备。,verification_code,synthetic,subtle,false
sms-normal-01,【配送提醒】包裹已进入派送流程。,normal,synthetic,clear,false
sms-normal-02,【日程服务】预约事项明日上午开始。,normal,synthetic,clear,false
sms-normal-03,【账户月报】本月账单已生成。,normal,synthetic,clear,false
sms-normal-04,【阅读提醒】订阅内容已更新。,normal,synthetic,clear,false
sms-normal-05,【出行助手】明日行程已同步日历。,normal,synthetic,clear,false
sms-normal-06,【售后进度】申请正在按顺序处理。,normal,synthetic,clear,false
sms-normal-07,【健康服务】本周运动记录已汇总。,normal,synthetic,clear,false
sms-normal-08,【社区通知】设施维护将在周末进行。,normal,synthetic,clear,false
sms-normal-09,【课程提醒】已保留下一节体验课席位。,normal,synthetic,clear,false
sms-normal-10,【会员中心】权益下月自动续期。,normal,synthetic,subtle,false
sms-normal-11,【设备消息】完成一次常规检查。,normal,synthetic,subtle,false
sms-normal-12,【订单通知】商品已打包等待出库。,normal,synthetic,subtle,false
sms-normal-13,【生活服务】缴费提醒明天生效。,normal,synthetic,subtle,false
sms-normal-14,【旅行提示】行程单已更新天气信息。,normal,synthetic,subtle,false
sms-normal-15,【客户关怀】已收到您的普通反馈。,normal,synthetic,subtle,false
