id,text,label,source,difficulty,ambiguous
ec-positive-01,耳机连接很快，通勤听播客很清楚。,positive,synthetic,clear,false
ec-positive-02,杯子放了一夜热水，早晨还是温的。,positive,synthetic,clear,false
ec-positive-03,衬衫版型合身，洗后也没变形。,positive,synthetic,clear,false
ec-positive-04,收纳架装好后很稳，说明书明白。,positive,synthetic,clear,false
ec-positive-05,台灯亮度足够，夜读不刺眼。,positive,synthetic,clear,false
ec-positive-06,背包隔层合理，电脑放进去刚好。,positive,synthetic,clear,false
ec-positive-07,毛毯柔软，颜色和图片一致。,positive,synthetic,clear,false
ec-positive-08,键盘回弹舒服，办公声音不大。,positive,synthetic,clear,false
ec-positive-09,拖鞋防滑，浴室里穿着安心。,positive,synthetic,clear,false
ec-positive-10,水壶倒水顺手，盖子没有漏。,positive,synthetic,clear,false
ec-positive-11,相框边角细致，摆桌上很好看。,positive,synthetic,clear,false
ec-positive-12,围巾厚实却不扎脖子。,positive,synthetic,clear,false
ec-positive-13,物流晚了半天，不过东西状态很好。,positive,synthetic,subtle,false
ec-positive-14,外盒有褶皱，餐盒完好且好用。,positive,synthetic,subtle,false
ec-positive-15,颜色比预想深些，上身效果挺好。,positive,synthetic,subtle,false
ec-positive-16,研究后会调高度，椅子很舒服。,positive,synthetic,subtle,false
ec-positive-17,外壳有细纹，不影响功能。,positive,synthetic,subtle,false
ec-positive-18,赠品普通，主商品做工扎实。,positive,synthetic,subtle,false
ec-positive-19,尺寸略大，垫鞋垫后很合适。,positive,synthetic,subtle,false
ec-positive-20,等了几天才到，拆开觉得值得。,positive,synthetic,subtle,false
ec-positive-21,说明字小，不过操作简单。,positive,synthetic,subtle,false
ec-positive-22,耳机音质真不错，外盒压了一角也不用处理。,positive,synthetic,ambiguous,true
ec-positive-23,杯子很好看，配送慢点没关系。,positive,synthetic,ambiguous,true
ec-positive-24,外套合身，有根线头我自己剪掉即可。,positive,synthetic,ambiguous,true
ec-negative-01,充电两小时只能用一会儿。,negative,synthetic,clear,false
ec-negative-02,拉链用两次就卡住了。,negative,synthetic,clear,false
ec-negative-03,保温时间比介绍短很多。,negative,synthetic,clear,false
ec-negative-04,灯光忽明忽暗，晚上很烦。,negative,synthetic,clear,false
ec-negative-05,衣服袖口线头很多。,negative,synthetic,clear,false
ec-negative-06,坐垫偏硬，久坐不舒服。,negative,synthetic,clear,false
ec-negative-07,杯盖有明显塑料味。,negative,synthetic,clear,false
ec-negative-08,耳塞戴十分钟就压耳朵。,negative,synthetic,clear,false
ec-negative-09,桌面支架总晃，放平板不放心。,negative,synthetic,clear,false
ec-negative-10,颜色有色差，没有惊喜。,negative,synthetic,clear,false
ec-negative-11,毛巾掉毛严重，洗后仍如此。,negative,synthetic,clear,false
ec-negative-12,风扇声音大，影响睡觉。,negative,synthetic,clear,false
ec-negative-13,外观不错，按键手感松散。,negative,synthetic,subtle,false
ec-negative-14,送货很快，商品边缘却有划痕。,negative,synthetic,subtle,false
ec-negative-15,设计有想法，实际容量太小。,negative,synthetic,subtle,false
ec-negative-16,材质看着高级，摸着廉价。,negative,synthetic,subtle,false
ec-negative-17,第一天还行，第二天频繁断连。,negative,synthetic,subtle,false
